product_id;category_id;product_name;price
1;1;Смартфон Samsung Galaxy;49990
2;1;Ноутбук Lenovo;65900
3;1;Наушники Sony;8990
4;1;Планшет Huawei;25990
5;2;Пылесос Bosch;18990
6;2;Микроволновая печь LG;12990
7;2;Стиральная машина Indesit;34990
8;2;Холодильник Samsung;52990
9;3;Куртка зимняя;5990
10;3;Кроссовки Nike;7990
11;3;Джинсы Levi's;4990
12;4;Война и мир;1250
13;4;Мастер и Маргарита;890
14;4;1984;650
15;5;Набор кастрюль;3990
16;5;Постельное бельё;2990
17;5;Стол письменный;14990
18;1;Смарт-часы Xiaomi;12990
